"[1233.6283831752887, 1246.0338612737085, 1420.7694817238448, 1467.0345031158001, 1205.7035560584636, 1410.105933110865, 1226.786110114014]","[1933.9451300059286, 1164.7781876687238, 1241.410540108176, 1144.718816276332, 1312.1501802996906, 1491.5969098639707, 1340.877920610675]","[1430.5616317556157, 1471.0053340412194, 1496.931647852231, 1549.0306781752445, 1393.4266625347068, 1452.6103528152732, 1562.8363922237793]","[1780.6922920865277, 1391.787454992387, 1506.5508572704975, 1432.8342993872789, 1677.5008337602947, 1543.4474253854987, 1485.3494665962974]","[1316.1688876074634, 1673.576865481161, 1295.243293489377, 1421.2214292785634, 1611.5120493995103, 1487.1866852104401, 1711.9296053558005]","[1610.4277759800814, 1353.9310745877856, 1356.2464571017822, 1553.1358409288403, 1580.3128988467345, 1952.2989644291715, 1382.4257694207047]","[2193.4423639849624, 1609.9812314095293, 1398.8555080028643, 1193.496622882933, 2346.131452251793, 1587.965192858493, 1507.1297500465932]"
"[1127.159435999284, 1197.1429352883474, 1055.5562692767953, 1382.452473950323, 0.0, 0.0, 0.0]","[1325.4581797206595, 1416.816293259908, 1424.694788840966, 0.0, 0.0, 0.0, 0.0]","[1304.1524108232818, 1442.218414794291, 1493.5655255252166, 0.0, 0.0, 0.0, 0.0]","[1600.2825300419206, 1562.4803856305432, 1489.41452082232, 0.0, 0.0, 0.0, 0.0]","[1416.721188973328, 1573.7319752368173, 1208.743910868746, 0.0, 0.0, 0.0, 0.0]","[1928.3873770107675, 1648.8637691036338, 1519.867000794937, 0.0, 0.0, 0.0, 0.0]","[1540.6394208593401, 1553.9979993170111, 1191.6645889657761, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
